regime,trace_index,trace_id,profile,model,intervals,events,nll_total,nll_per_interval
high_mobility,7,high_mobility-0007,robust,lstm_dt,80,40,61.525259955205364,0.769065749440067
high_mobility,7,high_mobility-0007,robust,mlp_dt,80,40,65.97643851063107,0.8247054813828884
high_mobility,7,high_mobility-0007,robust,gru_param_matched,80,40,59.45483357322096,0.743185419665262
high_mobility,7,high_mobility-0007,robust,constant,80,40,85.97063505649567,1.0746329382061959
high_mobility,8,high_mobility-0008,fast,cfc,94,99,81.13699175433406,0.8631594867482347
high_mobility,8,high_mobility-0008,fast,gru_dt,94,99,71.10201244798162,0.7564043877444854
high_mobility,8,high_mobility-0008,fast,lstm_dt,94,99,75.04015976277432,0.7982995719444077
high_mobility,8,high_mobility-0008,fast,mlp_dt,94,99,76.82898277360738,0.8173296039745466
high_mobility,8,high_mobility-0008,fast,gru_param_matched,94,99,69.78449111961069,0.7423882034001138
high_mobility,8,high_mobility-0008,fast,constant,94,99,104.96441893066557,1.1166427545815487
high_mobility,9,high_mobility-0009,robust,cfc,89,50,67.24452559534835,0.7555564673634646
high_mobility,9,high_mobility-0009,robust,gru_dt,89,50,67.57347414406118,0.7592525184725976
high_mobility,9,high_mobility-0009,robust,lstm_dt,89,50,67.86917506032417,0.7625750006777996
high_mobility,9,high_mobility-0009,robust,mlp_dt,89,50,72.9710405921835,0.8198993324964438
high_mobility,9,high_mobility-0009,robust,gru_param_matched,89,50,67.19430421744303,0.7549921822184611
high_mobility,9,high_mobility-0009,robust,constant,89,50,89.92153363293727,1.0103543104824413
high_mobility,10,high_mobility-0010,fast,cfc,89,105,92.11965775267225,1.0350523342996882
high_mobility,10,high_mobility-0010,fast,gru_dt,89,105,84.01828355267622,0.9440256578952385
high_mobility,10,high_mobility-0010,fast,lstm_dt,89,105,84.23685769379463,0.946481547121288
high_mobility,10,high_mobility-0010,fast,mlp_dt,89,105,75.95594682230386,0.8534376047449872
high_mobility,10,high_mobility-0010,fast,gru_param_matched,89,105,78.63576777474572,0.8835479525252328
high_mobility,10,high_mobility-0010,fast,constant,89,105,108.9449810170077,1.2241009103034575
high_mobility,11,high_mobility-0011,robust,cfc,87,72,55.03291081070451,0.6325621932264885
high_mobility,11,high_mobility-0011,robust,gru_dt,87,72,53.64232373293643,0.616578433711913
high_mobility,11,high_mobility-0011,robust,lstm_dt,87,72,52.99002990054747,0.6090808034545686
high_mobility,11,high_mobility-0011,robust,mlp_dt,87,72,60.92905212078404,0.7003339324228051
high_mobility,11,high_mobility-0011,robust,gru_param_matched,87,72,53.95707195510142,0.6201962293689818
high_mobility,11,high_mobility-0011,robust,constant,87,72,69.4770188106362,0.7985864231107609
high_mobility,12,high_mobility-0012,fast,cfc,91,88,74.02421137412593,0.813452872243142
high_mobility,12,high_mobility-0012,fast,gru_dt,91,88,71.59311647132847,0.7867375436409723
high_mobility,12,high_mobility-0012,fast,lstm_dt,91,88,73.95002244227655,0.8126376092557862
high_mobility,12,high_mobility-0012,fast,mlp_dt,91,88,72.02644058752111,0.7914993471156165
high_mobility,12,high_mobility-0012,fast,gru_param_matched,91,88,69.17338095503382,0.7601470434619101
high_mobility,12,high_mobility-0012,fast,constant,91,88,88.19977296112728,0.969228274298102
high_mobility,13,high_mobility-0013,robust,cfc,93,49,45.80109571464706,0.4924849001574953
high_mobility,13,high_mobility-0013,robust,gru_dt,93,49,44.14969582883023,0.4747279121379595
high_mobility,13,high_mobility-0013,robust,lstm_dt,93,49,44.95574792309877,0.4833951389580513
high_mobility,13,high_mobility-0013,robust,mlp_dt,93,49,48.58835485979914,0.5224554285999907
high_mobility,13,high_mobility-0013,robust,gru_param_matched,93,49,42.70318112454602,0.45917399058651637
high_mobility,13,high_mobility-0013,robust,constant,93,49,58.23169387485488,0.6261472459661814
high_mobility,14,high_mobility-0014,fast,cfc,84,86,76.86150636206209,0.9150179328816915
high_mobility,14,high_mobility-0014,fast,gru_dt,84,86,75.19794106349921,0.8952135840892763
high_mobility,14,high_mobility-0014,fast,lstm_dt,84,86,74.44010769879318,0.8861917583189665
high_mobility,14,high_mobility-0014,fast,mlp_dt,84,86,73.5073349491415,0.875087320823113
high_mobility,14,high_mobility-0014,fast,gru_param_matched,84,86,76.04353748522134,0.9052802081573968
high_mobility,14,high_mobility-0014,fast,constant,84,86,103.06563874131449,1.2269718897775534
high_mobility,15,high_mobility-0015,robust,cfc,81,62,85.19835081658107,1.0518314915627291
high_mobility,15,high_mobility-0015,robust,gru_dt,81,62,81.24956064170058,1.0030809955765505
high_mobility,15,high_mobility-0015,robust,lstm_dt,81,62,78.6917701697243,0.9715033354286949
high_mobility,15,high_mobility-0015,robust,mlp_dt,81,62,76.68497450010707,0.9467280802482355
high_mobility,15,high_mobility-0015,robust,gru_param_matched,81,62,80.76259675402707,0.9970690957287293
high_mobility,15,high_mobility-0015,robust,constant,81,62,87.1087069582815,1.0754161352874259
high_mobility,16,high_mobility-0016,fast,cfc,96,89,86.56374190209877,0.9017056448135289
high_mobility,16,high_mobility-0016,fast,gru_dt,96,89,73.2828779185515,0.7633633116515782
high_mobility,16,high_mobility-0016,fast,lstm_dt,96,89,76.23184603172018,0.7940817294970852
high_mobility,16,high_mobility-0016,fast,mlp_dt,96,89,78.19972338277012,0.8145804519038554
high_mobility,16,high_mobility-0016,fast,gru_param_matched,96,89,75.09025438456177,0.7821901498391851
high_mobility,16,high_mobility-0016,fast,constant,96,89,103.70267317879998,1.0802361789458332
high_mobility,17,high_mobility-0017,robust,cfc,87,50,66.2682346152054,0.7617038461517862
high_mobility,17,high_mobility-0017,robust,gru_dt,87,50,61.82649801827845,0.7106494025089477
high_mobility,17,high_mobility-0017,robust,lstm_dt,87,50,62.31889977536636,0.716309192820303
high_mobility,17,high_mobility-0017,robust,mlp_dt,87,50,62.962665781477064,0.7237088020859432
