regime,trace_index,model,values,above_30,above_20,max_rate,p999_rate
paired_sparse,3,mlp_dt,132,0,0,3.0751709938049316,3.071437358856201
paired_sparse,3,gru_param_matched,132,0,0,3.0713953971862793,3.0606894493103027
paired_sparse,3,constant,132,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,4,cfc,123,0,0,4.541786193847656,4.523195743560791
paired_sparse,4,gru_dt,123,0,0,4.9613494873046875,4.907662868499756
paired_sparse,4,lstm_dt,123,0,0,4.7716593742370605,4.722314357757568
paired_sparse,4,mlp_dt,123,0,0,4.510717391967773,4.468250274658203
paired_sparse,4,gru_param_matched,123,0,0,5.044854164123535,4.971269607543945
paired_sparse,4,constant,123,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,5,cfc,123,0,0,2.8853983879089355,2.8455278873443604
paired_sparse,5,gru_dt,123,0,0,2.3649818897247314,2.3335022926330566
paired_sparse,5,lstm_dt,123,0,0,2.3211357593536377,2.3100953102111816
paired_sparse,5,mlp_dt,123,0,0,2.4931750297546387,2.4833364486694336
paired_sparse,5,gru_param_matched,123,0,0,2.412410020828247,2.3915462493896484
paired_sparse,5,constant,123,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,6,cfc,150,0,0,4.644238471984863,4.634527206420898
paired_sparse,6,gru_dt,150,0,0,5.011778831481934,5.001935005187988
paired_sparse,6,lstm_dt,150,0,0,4.751375675201416,4.7299370765686035
paired_sparse,6,mlp_dt,150,0,0,4.81596565246582,4.783919811248779
paired_sparse,6,gru_param_matched,150,0,0,5.459325790405273,5.431621551513672
paired_sparse,6,constant,150,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,7,cfc,135,0,0,2.6951982975006104,2.5948359966278076
paired_sparse,7,gru_dt,135,0,0,2.427190065383911,2.3606083393096924
paired_sparse,7,lstm_dt,135,0,0,2.5459108352661133,2.469141721725464
paired_sparse,7,mlp_dt,135,0,0,2.511077880859375,2.4985828399658203
paired_sparse,7,gru_param_matched,135,0,0,2.375951051712036,2.3268914222717285
paired_sparse,7,constant,135,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,8,cfc,123,0,0,3.5754215717315674,3.5187461376190186
paired_sparse,8,gru_dt,123,0,0,2.982517719268799,2.9728002548217773
paired_sparse,8,lstm_dt,123,0,0,3.1675586700439453,3.107571601867676
paired_sparse,8,mlp_dt,123,0,0,3.3665177822113037,3.324195623397827
paired_sparse,8,gru_param_matched,123,0,0,3.31848406791687,3.299625873565674
paired_sparse,8,constant,123,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,9,cfc,126,0,0,3.3462328910827637,3.311248540878296
paired_sparse,9,gru_dt,126,0,0,3.170088768005371,3.1476120948791504
paired_sparse,9,lstm_dt,126,0,0,3.3644018173217773,3.3280816078186035
paired_sparse,9,mlp_dt,126,0,0,3.4821395874023438,3.439126491546631
paired_sparse,9,gru_param_matched,126,0,0,3.4734408855438232,3.4115278720855713
paired_sparse,9,constant,126,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,10,cfc,108,0,0,4.596440315246582,4.596094608306885
paired_sparse,10,gru_dt,108,0,0,4.935993671417236,4.920940399169922
paired_sparse,10,lstm_dt,108,0,0,4.9644036293029785,4.952707767486572
paired_sparse,10,mlp_dt,108,0,0,4.513439655303955,4.5045905113220215
paired_sparse,10,gru_param_matched,108,0,0,5.09301233291626,5.068012714385986
paired_sparse,10,constant,108,0,0,1.9818673133850098,1.9818673133850098
paired_sparse,11,cfc,93,0,0,3.2025768756866455,3.178014039993286
paired_sparse,11,gru_dt,93,0,0,2.9109349250793457,2.885544776916504
paired_sparse,11,lstm_dt,93,0,0,3.367079257965088,3.334165096282959
paired_sparse,11,mlp_dt,93,0,0,3.1100869178771973,3.0898571014404297
paired_sparse,11,gru_param_matched,93,0,0,3.0718846321105957,3.0458240509033203
