model,regime,scenario,replicate,policy,seed,events,goal_utility_ratio,critical_success_rate,mean_latency,energy,generated,delivered,outages,recoveries,handovers,reroutes,final_hash,thinning_rejections,thinning_windows,scenario_mobility,scenario_stress,scenario_channel,scenario_demand
cfc_closed,high_mobility,1,0,throughput,1.028646420975653e+19,60,0.8463842152466365,1.0,0.4621766356153403,32.836,19,17,1,0,2,1,6258f673934597eea96f43d510f03edd1604e42cb66f026a81f48df0f2293bd9,49,2,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
cfc_closed,high_mobility,1,0,semantic,1.028646420975653e+19,60,0.8297384753363226,1.0,0.4549255071417904,32.836,19,17,1,0,2,1,44d9e20b273f065b6a51a615fb083f6aa9c5e72c20fd62761062edd48ab11c5e,51,2,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
cfc_nojump,high_mobility,1,0,throughput,1.028646420975653e+19,60,0.8575052914798204,1.0,0.4685491991378909,32.836,19,17,1,0,2,1,aecb99505bb98ddf07f87e8091bc4c1c2ac79df4e5d61de5d8fd50b6126c92dd,47,2,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
cfc_nojump,high_mobility,1,0,semantic,1.028646420975653e+19,60,0.8575052914798204,1.0,0.4634128539198412,32.836,19,17,1,0,2,1,a1d0fb1df848a53d82275b6887d7b2a7c6bdfb2fefefa104a2b8e9cedc9803fe,51,2,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
gru_closed,high_mobility,1,0,throughput,1.028646420975653e+19,61,0.8656932735426007,1.0,0.5186454613744387,35.236,19,18,1,0,2,1,a28b4b28aaeecb189d6c7f92c40f0650b5d14d03e37d06154fd7c27948086bbb,43,2,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
gru_closed,high_mobility,1,0,semantic,1.028646420975653e+19,61,0.8463842152466365,1.0,0.513423571729106,35.236,19,18,1,0,2,1,e720dbc15c1b3665d7f01d6fe36c42225cb0145139f5d07810ffecdbada401cc,44,2,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
oracle,high_mobility,1,1,throughput,6.712834666293e+17,58,0.8481122274881515,1.0,0.6512669742693057,31.552,16,16,2,2,4,1,b86174cc4b71a0147f486a9447675f5e7236784087713028ea6b4a7a38d26cb0,34,4,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
oracle,high_mobility,1,1,semantic,6.712834666293e+17,74,0.8383799103139011,1.0,0.7042973086969323,35.48799999999999,19,18,3,2,5,4,22be6653bcd5099d8a2286225f31805fdd3ae574cebaddc9720150efe93ecb44,41,2,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
cfc_closed,high_mobility,1,1,throughput,6.712834666293e+17,55,0.9144927853881276,1.0,0.5799170153513652,34.059999999999995,18,17,1,1,0,0,900f197f5da1990da92c72f6c3822788ae0cd9bd1b15b4fd924f4c238ac128e7,37,3,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
cfc_closed,high_mobility,1,1,semantic,6.712834666293e+17,55,0.9144927853881276,1.0,0.5724702842042714,34.059999999999995,18,17,1,1,0,0,9fe2e98f5e04e2a85aea0022abb978db4112c99376c0b4d3efdc28c8e1576aa1,37,3,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
cfc_nojump,high_mobility,1,1,throughput,6.712834666293e+17,55,0.9144927853881276,1.0,0.5799170153513652,34.059999999999995,18,17,1,1,0,0,786c518fe7c628909d42dd78e34780eb410db1c789f4d08f2181ec5939e218a4,37,3,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
cfc_nojump,high_mobility,1,1,semantic,6.712834666293e+17,55,0.9144927853881276,1.0,0.5724702842042714,34.059999999999995,18,17,1,1,0,0,6d090466544360ee4c607e7f3be27918f90b38b1bfec66cc5ea90b9752aeade9,37,3,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
gru_closed,high_mobility,1,1,throughput,6.712834666293e+17,55,0.9144927853881276,1.0,0.5799170153513652,34.059999999999995,18,17,1,1,0,0,bbef0efbadc09c2eeb9aa61714910f81d20424f262fff284ba91643e0245a8fa,37,3,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
gru_closed,high_mobility,1,1,semantic,6.712834666293e+17,55,0.9144927853881276,1.0,0.5724702842042714,34.059999999999995,18,17,1,1,0,0,2a2d9fbff0d7c60e47edadf4292dfce32d4f4e3f7bb18b690b2ea451a43400f5,37,3,1.848126889068885,1.2542382524573288,1.0466502254492889,1.138996213921581
oracle,high_mobility,2,0,throughput,1.2081494032943393e+19,81,0.7045798787878786,0.8,0.5007821810048755,43.304,30,21,1,0,5,0,b3beef76f75b46e15402f02b51fad03bcd20f2c850da56129d3334f7178e7a52,56,3,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
oracle,high_mobility,2,0,semantic,1.2081494032943393e+19,89,0.5506955481727573,0.5555555555555556,0.6836836781809489,39.216,28,19,3,2,5,5,18e0d7d966ad4142dfa3ff5f261c00f3ad4a808883b27be505ba83c6a94ca727,86,3,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
cfc_closed,high_mobility,2,0,throughput,1.2081494032943393e+19,82,0.6190729411764705,0.625,0.777708902345556,47.788,26,22,1,1,4,1,f755fe6fb2593e9b0241287241bdb896120278ef51e47cfa777d5447eae69181,72,3,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
cfc_closed,high_mobility,2,0,semantic,1.2081494032943393e+19,85,0.9112023529411764,1.0,0.6763008676067134,54.632,26,25,1,1,4,1,4d038926462ccd756667153f4b05da889db42fdb8cc88cd9aacfe2516950ca50,63,3,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
cfc_nojump,high_mobility,2,0,throughput,1.2081494032943393e+19,82,0.6190729411764705,0.625,0.7785213679820688,47.788,26,22,1,1,4,1,5917288e5336f9fa3d1db3580a477dbcf68946ea48fa37032f7984a31e19c51a,72,3,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
cfc_nojump,high_mobility,2,0,semantic,1.2081494032943393e+19,85,0.9112023529411762,1.0,0.6763008676067134,54.632,26,25,1,1,4,1,d148a229bdf738b9be924fb4fee8586449cd5c3b6ae1904d4689375cfc95b226,63,3,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
gru_closed,high_mobility,2,0,throughput,1.2081494032943393e+19,85,0.7168310447761194,0.75,0.8141232208585599,48.73999999999999,25,24,1,1,3,3,45ca121ad659f5692a8048b45f9b4196cdb2be4a97f3bf9b6721ca9e37470e62,79,3,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
gru_closed,high_mobility,2,0,semantic,1.2081494032943393e+19,78,0.8231741176470586,1.0,0.4644697002589337,43.016,26,21,0,0,5,0,7027bd1e571b7f919e84ec6cd3258f4f7f3956ed4c7fe2733ce5b782bf47d9b0,59,3,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
oracle,high_mobility,2,1,throughput,1.7326401670988102e+19,94,0.8419635989717221,0.9230769230769232,0.7172493729227669,54.58,29,28,0,0,8,0,302c5d0ba694d58e9a44d8651becc1710331f52d08220952cdea3f383bb3f621,73,2,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
oracle,high_mobility,2,1,semantic,1.7326401670988102e+19,91,0.7945502576112411,0.8666666666666667,0.6911530866521466,46.51599999999999,28,25,0,0,10,0,cb0454b04f17e8d02c6d5e4658ec5038f365a093d967b1adeefe42da8e043d39,76,2,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
cfc_closed,high_mobility,2,1,throughput,1.7326401670988102e+19,100,0.8187816585365855,0.8571428571428571,0.7827141327344336,52.656,29,26,2,2,6,3,61f6f6b7275847cbc3a7c8f53341bfa548102127b1df585ea3baaba807028a84,83,2,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
cfc_closed,high_mobility,2,1,semantic,1.7326401670988102e+19,101,0.9228987317073172,1.0,0.7650038611885207,54.656,29,28,2,2,5,3,58687c514e41ca8f53e5f19ee50e4af1e1eec4cfcccc91af341742f48b9a6a1b,83,2,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
cfc_nojump,high_mobility,2,1,throughput,1.7326401670988102e+19,95,0.7408059416445624,0.7692307692307693,1.037160637140484,47.348,26,24,2,2,7,4,be93580c0fa20dd5f5b009ef2ba18e9d537ea013679b6e56264a32ea4c3458b2,92,2,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
cfc_nojump,high_mobility,2,1,semantic,1.7326401670988102e+19,102,0.7866530049261086,0.8571428571428571,0.9339252856093874,52.748,28,28,2,2,6,4,8ce77a3317497d77ea8d4ca4f3f5a7fe7ad690ef69fa63621c7b2840c560c249,92,2,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
gru_closed,high_mobility,2,1,throughput,1.7326401670988102e+19,95,0.9090766570605188,1.0,0.8306186961077673,58.80799999999999,29,29,0,0,8,0,05551a873e1bebe99fe95ba4090512782661d5c71f7e24233fbd6fb88d9bb95b,86,1,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
gru_closed,high_mobility,2,1,semantic,1.7326401670988102e+19,116,0.8365555056179774,0.9444444444444444,0.7357763618935507,61.51999999999999,39,33,0,0,5,0,2cfb8367d37e9c775c4761086ea1f4918e71a5124ecb50e78d720e64b9985028,109,1,1.725363827542039,0.8025649294749819,1.1646950122950257,1.1316476026623483
oracle,high_mobility,3,0,throughput,1.3484609404232145e+19,87,0.8799128239202656,1.0,0.7400365898223048,54.84,28,26,0,0,5,0,b79f60ae4c191ff968d05db6b09cac92ffd6673068e4e633189b61dc17fe20a1,69,3,1.5615735812178313,1.014694745817747,1.1761166760718746,1.0244413358811686
oracle,high_mobility,3,0,semantic,1.3484609404232145e+19,87,0.8745504318936875,1.0,0.7485565150473934,54.048,28,26,0,0,5,0,f085c416b7780e301a7fd7560ffc5d00d5a2c49a6fc70753b689922885642d7a,69,3,1.5615735812178313,1.014694745817747,1.1761166760718746,1.0244413358811686
cfc_closed,high_mobility,3,0,throughput,1.3484609404232145e+19,71,0.6350115887850467,0.8333333333333334,1.3897193505272645,23.456,22,12,2,1,3,7,1a02c43a2271a1f115106c5c86992f3667b13937be104ef3da2007082bc473fa,131,2,1.5615735812178313,1.014694745817747,1.1761166760718746,1.0244413358811686
cfc_closed,high_mobility,3,0,semantic,1.3484609404232145e+19,71,0.6350115887850467,0.8333333333333334,1.380880050542305,23.456,22,12,2,1,3,7,3c7bc4e818449664c383935d7a49182e040e35263fc7423062a3d82550697439,133,2,1.5615735812178313,1.014694745817747,1.1761166760718746,1.0244413358811686
cfc_nojump,high_mobility,3,0,throughput,1.3484609404232145e+19,77,0.912830476190476,1.0,1.347770763827668,42.764,21,21,1,1,4,4,fb34b7ca9695ae46fb4e81c601ccfbdf3a76b8646ddf234c7653a4e89ea49827,106,2,1.5615735812178313,1.014694745817747,1.1761166760718746,1.0244413358811686
cfc_nojump,high_mobility,3,0,semantic,1.3484609404232145e+19,80,0.9049063087248324,1.0,1.2227550643168354,42.796,22,22,1,1,4,4,383ad219b0028c81fd2199f08869984858ee209825249b411665c5a56e097397,100,1,1.5615735812178313,1.014694745817747,1.1761166760718746,1.0244413358811686
