policy,replicate,seed,events,final_time,state_hash,generated,generated_critical,generated_background,delivered,delivered_critical,delivered_background,timely,timely_critical,timely_background,generated_utility,delivered_utility,timely_semantic_utility,energy,bytes_delivered,reroutes,handovers,mean_latency,max_queued,max_inflight,final_queued,final_inflight,critical_success_rate,background_success_rate,timely_task_rate,goal_utility_ratio,semantic_efficiency
qos,28,8480729212232741984,404,60.0,be1b06014bb9f3aea6305c7feb2602314bd5da8be51218dcc94f1b3f8fe0ab9d,129,37,92,129,37,92,116,31,85,53.55999999999998,47.738432,41.049728,338.38000000000017,313.0,0,14,1.7268058110546056,17,9,0,0,0.8378378378378378,0.9239130434782608,0.8992248062015504,0.7664250933532488,0.1213125125598438
qos,29,16917042041450296431,389,60.0,ffe455929f6333cc93ae604b25d8c4baaaa0a965233e66f5ff998caf7ea82fcd,126,47,79,126,47,79,120,42,78,61.21999999999998,53.91822399999999,49.275224,311.7200000000001,284.0,0,8,1.105842468286129,9,8,0,0,0.8936170212765957,0.9873417721518988,0.9523809523809524,0.8048876837634762,0.1580752726806107
semantic,0,17296613955212415330,440,60.0,20f96985b93b8f2a3d078d79ad58451706f796bef4af6ead0e300a953b88c8d6,142,55,87,142,55,87,130,46,84,70.66000000000004,63.37211200000002,54.77453200000003,343.3600000000001,316.0,3,5,1.4983795203572323,15,9,0,0,0.8363636363636363,0.9655172413793104,0.9154929577464788,0.7751844324936314,0.1595250815470643
semantic,1,17815891478444219897,394,60.0,3f5386671fba1dd8544007763c94e4dbafb900ea7f03919c7b9170a4fcc359c1,126,41,85,126,41,85,117,37,80,56.299999999999976,50.57759600000001,46.215151999999975,326.9600000000001,296.0,1,11,1.4663197969003507,11,7,0,0,0.902439024390244,0.9411764705882352,0.9285714285714286,0.8208730373001776,0.1413480303401026
semantic,2,16405280660730995745,422,60.0,1c8cfd1add5fb254244fb448b2a08e124348d392818c1a797d70f00a42cca3c7,136,41,95,136,41,95,130,36,94,58.09999999999997,52.57631999999999,47.64611999999999,356.0600000000002,326.0,0,11,1.095183701902358,10,9,0,0,0.8780487804878049,0.9894736842105264,0.9558823529411764,0.82007091222031,0.1338148626635959
semantic,3,1231977543173232774,404,60.0,f6e630124521befa19a74bb75d10261e4043b3169c4a091ddfbaacc5b6b50117,130,45,85,130,45,85,130,45,85,60.299999999999976,53.677064,53.677064,328.26000000000016,300.0,0,11,0.6707734659059689,4,9,0,0,1.0,1.0,1.0,0.890166898839138,0.1635199658807042
semantic,4,11986166472657500349,379,60.0,ce101dfba8a21a0f979fc913223cdf3b458e4b7cf2351adf1a46956b6ec77a22,122,47,75,122,47,75,114,40,74,60.49999999999998,53.96677999999999,47.56939999999999,297.3800000000001,272.0,1,8,1.179409354583537,12,9,0,0,0.851063829787234,0.9866666666666668,0.9344262295081968,0.7862710743801654,0.1599616652094961
semantic,5,10581747269026518101,404,60.0,b6b04d4b8767057adac71de2dfc8a48b37dce8e1f5a1a48ec6c557845a9c89b0,131,40,91,131,40,91,130,40,90,56.37999999999998,50.30807199999999,50.14769199999999,341.4400000000001,313.0,1,6,0.6810016935997105,2,7,0,0,1.0,0.989010989010989,0.9923664122137404,0.8894588861298333,0.1468711691658855
semantic,6,16196392786833377876,413,60.0,e64537bd6bbb73e1ba109f1fe7f9b125abd57c96747c7d7219a26f588024a908,134,39,95,134,39,95,131,36,95,56.09999999999998,50.80140800000002,48.029408000000025,358.74000000000024,324.0,0,8,0.9740340030182038,6,9,0,0,0.9230769230769232,1.0,0.9776119402985076,0.8561391800356514,0.1338836148742822
semantic,7,17534945296664351195,381,60.0,6f7def5ab08abc63e50cd9bb9b99bfdd1f6991b72be74a33df81a91369e30913,122,48,74,122,48,74,118,45,73,61.31999999999999,55.29177600000001,52.576596000000016,295.20000000000016,270.0,0,12,0.8037135754592158,6,7,0,0,0.9375,0.9864864864864864,0.9672131147540984,0.8574135029354212,0.1781049999999999
semantic,8,7721524649270048244,429,60.0,32eeacd0cffccc57149762ba5b26731359f49328dbcf189d67cec99a07b2f87d,138,40,98,138,40,98,134,36,98,57.63999999999997,52.15007200000001,48.388072000000015,363.8800000000002,334.0,0,12,0.6855513883842344,6,8,0,0,0.9,1.0,0.9710144927536232,0.83948771686329,0.1329781026712102
semantic,9,12146459574082073627,363,60.0,72d4713b520011d092601d085abaa35f4fbdf682840762102549e81ef2fe6d7c,116,39,77,116,39,77,113,37,76,52.85999999999998,47.04802799999999,45.22384799999999,297.7200000000001,270.0,0,12,0.8576090147495506,7,9,0,0,0.9487179487179488,0.987012987012987,0.9741379310344828,0.855540068104427,0.1519006045949213
semantic,10,17284053281970983378,393,60.0,47b5266423157c620c15c780a65d1d5b9bdd2080f0b8d8bed2e485517317b175,126,37,89,126,37,89,121,35,86,53.019999999999975,47.91110000000004,45.75179600000003,332.98000000000025,304.0,0,12,1.2868086997672403,11,9,0,0,0.945945945945946,0.9662921348314608,0.9603174603174603,0.8629158053564702,0.1374010330950807
semantic,11,7072431907313911855,436,60.0,4ae5a966257dba14326ced0a53d5e26079b924f29f20471bd8586bab6214f4e5,140,36,104,140,36,104,138,35,103,54.71999999999997,49.16585999999998,48.11447999999999,379.6800000000002,348.0,1,11,0.9051818115396544,6,9,0,0,0.9722222222222222,0.9903846153846154,0.9857142857142858,0.8792850877192985,0.1267237673830593
semantic,12,3070316127303719649,501,60.0,9cb4b51cfac2b83152c91d76c5c51ac04c1107895b52e65d422a7f4747170e45,161,44,117,161,44,117,157,41,116,65.05999999999997,58.58823599999995,55.53903599999999,433.8800000000005,395.0,0,15,1.097537645359815,10,6,0,0,0.9318181818181818,0.9914529914529916,0.9751552795031057,0.8536587150322781,0.1280055222642203
semantic,13,3768509306115833742,500,60.0,e5b6cf006ddf7c4f051d15e5bdca0070cd7d7a7b593ed45d878382f18d9ebc0b,161,48,113,161,48,113,157,46,111,68.34000000000005,61.65629199999999,59.653912,426.4200000000003,387.0,0,14,0.9337337474360332,9,9,0,0,0.9583333333333334,0.9823008849557522,0.9751552795031057,0.8728989171788112,0.1398947328924533
semantic,14,7361633738482078192,461,60.0,0acfc4927c4bb7e412959e58dcc3df2a16dd2e35cbe0356576aba34f6efb277d,149,40,109,149,40,109,144,36,108,59.61999999999997,51.935292000000025,48.21229200000001,401.5600000000001,367.0,0,11,0.9442198722461234,7,9,0,0,0.9,0.9908256880733946,0.9664429530201344,0.8086597115062066,0.1200624863034166
semantic,15,10873220219941715188,384,60.0,7bd1b0a99dbfbd9b1259c023feaed6f1c0548d30acdef53fb11fc24cbb190b15,124,39,85,124,39,85,115,33,82,54.299999999999976,48.576436,42.50585600000001,323.8800000000001,294.0,1,7,1.290103240755165,14,9,0,0,0.8461538461538461,0.9647058823529412,0.9274193548387096,0.7827966114180483,0.1312395208101766
semantic,16,12623579580488790635,436,60.0,ebd4420d3a71b131e8b7990078f9150107f2577bb2320e6e74ab2ba627334119,142,45,97,142,45,97,136,40,96,62.45999999999997,55.88750800000005,51.27212800000002,370.20000000000016,336.0,1,5,1.0472577180386895,9,7,0,0,0.8888888888888888,0.9896907216494846,0.9577464788732394,0.8208794108229274,0.138498454889249
semantic,17,10365885337706254127,445,60.0,f0034fc23bb57c9bc7f896daddbe6deac45ed290fb92b124defca81da889b4bc,142,40,102,142,40,102,139,37,102,58.35999999999998,52.61990000000005,49.86710000000005,373.72000000000014,346.0,0,16,0.8958031863278764,6,9,0,0,0.925,1.0,0.9788732394366196,0.8544739547635378,0.1334343893824254
semantic,18,1449579985928280938,444,60.0,57a97a52f1a500b392cb90aea8a99ca830ecb086844d177317a34868edcf3558,144,50,94,144,50,94,130,39,91,66.92000000000002,61.194184,50.37022400000001,365.8400000000003,332.0,1,7,1.2481158574605076,12,9,0,0,0.78,0.9680851063829788,0.9027777777777778,0.7526931261207411,0.1376837524600917
semantic,19,10996544217852071282,465,60.0,aaf24d9ad02446fb77bd98e37bdf552acef3eaa0c88dcba2b5337a1c3bcbd2f6,150,45,105,150,45,105,122,38,84,63.89999999999997,57.46602800000009,47.38026800000007,392.5800000000003,360.0,1,10,2.418896889950776,29,9,0,0,0.8444444444444444,0.8,0.8133333333333334,0.7414752425665116,0.1206894594732284
semantic,20,2868059839975754254,425,60.0,0368021c12abe73d2c3e59a5ea152c78d229cb1a767a07dd8a0fbb29f5e50281,136,39,97,136,39,97,123,35,88,56.45999999999998,50.20918799999999,44.96982,359.7000000000003,330.0,1,12,1.6745201754605286,16,9,0,0,0.8974358974358975,0.9072164948453608,0.9044117647058824,0.7964899043570672,0.1250203502919098
semantic,21,16297227859518275325,483,60.0,92ab40e7fb8237ee036fbe1aa573502be2e15b926f073fb2c8ef4b6ae282d750,155,54,101,155,54,101,143,45,98,72.18000000000008,64.51171199999999,55.51273199999999,389.0400000000003,357.0,0,15,1.3337647541923456,12,9,0,0,0.8333333333333334,0.9702970297029704,0.9225806451612903,0.7690874480465494,0.1426915792720541
semantic,22,3080738017695136020,430,60.0,ff0cfc5d0561f737d6ce8455bf1f3af6551cebf8b8bd9bf8acb59bf478a0f701,139,38,101,139,38,101,134,35,99,56.17999999999998,49.93162000000002,46.93264000000003,370.7000000000002,341.0,1,8,1.1987994586826776,10,9,0,0,0.9210526315789472,0.9801980198019802,0.9640287769784172,0.8353976504093992,0.1266054491502562
semantic,23,12755441364100385393,417,60.0,338764fbdec0972aa8deb5cc7a8629918c38e250930e22305a750c605e799921,132,51,81,132,51,81,123,47,76,65.58,59.46440800000001,54.97880000000001,320.64000000000016,294.0,1,16,1.3418059318037012,13,9,0,0,0.9215686274509804,0.9382716049382716,0.9318181818181818,0.8383470570295823,0.1714658183632734
semantic,24,6613960073083859421,452,60.0,f0c1d5bd6ead4c3c6975f2cc1c2f4ac8a1195335a3bd59de5bb17c7787c3142c,146,44,102,146,44,102,141,40,101,62.35999999999997,56.038275999999975,52.08167599999999,380.0600000000002,350.0,1,9,1.1707781334185756,11,9,0,0,0.9090909090909092,0.9901960784313726,0.9657534246575342,0.8351776138550354,0.1370354049360626
semantic,25,2174866923271902063,419,60.0,aa9363e179d03d432674c79ab65e649b0799e24110a286684ab7a7fe69d6b7fa,135,38,97,135,38,97,118,34,84,55.45999999999998,50.72365199999997,44.663808,360.8600000000002,329.0,0,11,1.7314594438254869,13,9,0,0,0.8947368421052632,0.865979381443299,0.8740740740740741,0.8053337179949516,0.1237704594579614
semantic,26,10536966481473086252,426,60.0,bea4a9091876df043d305a3e6718a8b9d5be5f4f8ee0327f6e5c5a0550916b6d,136,51,85,136,51,85,129,45,84,66.29999999999998,58.98976799999996,53.79116799999996,336.0600000000001,306.0,0,15,1.2113945984283048,13,9,0,0,0.8823529411764706,0.9882352941176472,0.9485294117647058,0.8113298340874808,0.1600641790156518
semantic,27,18071393807982204052,406,60.0,3aa1e00199f8c753b74e10a2ae91440f5b1a920a6a9e65f6b8dcc0680ad5fc02,133,53,80,133,53,80,131,51,80,67.40000000000003,59.97375599999998,58.191755999999984,317.6600000000001,293.0,0,4,0.5851613201426896,5,6,0,0,0.9622641509433962,1.0,0.9849624060150376,0.8633791691394652,0.1831888056412515
semantic,28,8480729212232741984,428,60.0,befd2dfed49a96006c0b6bd670aae178d48916a9490942d5cfed8175ca6b5762,138,42,96,138,42,96,129,36,93,59.27999999999998,53.05486800000002,46.797468000000016,356.6400000000001,330.0,0,11,1.153305700564984,7,9,0,0,0.8571428571428571,0.96875,0.9347826086956522,0.7894309716599196,0.1312176648721399
semantic,29,16917042041450296431,407,60.0,3d585babdbb66bf71fd12579a021ee030175fe22e699d8c7685205d89a1fef01,132,43,89,132,43,89,127,39,88,59.019999999999975,52.742612,48.81501200000001,338.9800000000002,310.0,0,8,1.0780132805806697,9,7,0,0,0.9069767441860463,0.9887640449438202,0.9621212121212122,0.8270927143341246,0.144005581450233
throughput,0,17296613955212415330,451,60.0,2b41dbe7cd33ec03fe3e92b47f1b9bd2c98b4fdcb5ccced17c2e475fa9105e6d,147,47,100,147,47,100,130,36,94,64.99999999999999,58.527384000000026,47.50444399999999,374.5400000000001,347.0,0,7,1.7735789821593488,21,9,0,0,0.7659574468085106,0.94,0.8843537414965986,0.7308376000000001,0.1268341004966091
throughput,1,17815891478444219897,421,60.0,2001d199e2b7105ad4333352ab3f07e1754f2b868d3ec1d4031ffa042e96538e,136,51,85,136,51,85,127,43,84,66.3,59.67952800000003,52.09414800000002,335.3400000000002,306.0,2,6,1.219103793826492,9,6,0,0,0.8431372549019608,0.9882352941176472,0.9338235294117648,0.7857337556561089,0.1553472535337269
throughput,2,16405280660730995745,380,60.0,9ee2d40346e26018b31e24efde3da7f5cb11820854620c904d60ed3a1e7f3298,120,40,80,120,40,80,120,40,80,54.399999999999984,49.85377999999997,49.85377999999997,303.7600000000001,280.0,1,15,0.7610048913094661,2,9,0,0,1.0,1.0,1.0,0.9164297794117644,0.164122267579668
throughput,3,1231977543173232774,459,60.0,1bfecd877ba05a1c279a896fa21b18093184f0378fe0ca5534191b3d7d2d8c21,150,54,96,150,54,96,148,52,96,71.28000000000003,63.62812000000005,61.64812000000005,371.3400000000002,342.0,0,6,0.835518427422455,5,9,0,0,0.9629629629629628,1.0,0.9866666666666668,0.864872615039282,0.1660152959551893
